"금연구역명",금연구역범위상세,시도명,시군구명,금연구역구분,금연구역지정근거명,금연구역면적,위반과태료,위반신고전화번호,소재지도로명주소,소재지지번주소,관리기관명,위도,경도,데이터기준일자
"서울개원초등학교병설유치원",건축물경계로부터 10m까지,서울특별시,강남구,유치원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,"서울특별시 강남구 선릉로 29 (개포동,개원초등학교)","서울특별시 강남구 서울특별시 강남구 선릉로 29 (개포동,개원초등학교)",서울특별시 강남구청,37.499325,127.052739,2017-11-17
"서울도곡초등학교병설유치원",건축물경계로부터 10m까지,서울특별시,강남구,유치원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,"서울특별시 강남구 강남구 선릉로64길 33(대치동,도곡초등학교)","서울특별시 강남구 강남구 선릉로64길 33(대치동,도곡초등학교)",서울특별시 강남구청,37.523116,127.022059,2017-11-17
"서울신구초등학교병설유치원",건축물경계로부터 10m까지,서울특별시,강남구,유치원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,"서울특별시 강남구 강남구 압구정로18길 28(신사동,신구초등학교)","서울특별시 강남구 강남구 압구정로18길 28(신사동,신구초등학교)",서울특별시 강남구청,37.486661,127.034972,2017-11-17
"서울언주초등학교병설유치원",건축물경계로부터 10m까지,서울특별시,강남구,유치원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 강남구 남부순환로 363길 19 서울언주초등학교병설유치원,서울특별시 강남구 강남구 남부순환로 363길 19 서울언주초등학교병설유치원,서울특별시 강남구청,37.486698,127.019651,2017-11-17
"청담몬테소리유치원",건축물경계로부터 10m까지,서울특별시,강남구,유치원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,"서울특별시 강남구 강남구 학동로67길 15(청담동,장우빌딩)","서울특별시 강남구 강남구 학동로67길 15(청담동,장우빌딩)",서울특별시 강남구청,37.486846,126.967121,2017-11-17
"언주역",언주역 6번출구로부터 10미터 이내,서울특별시,강남구,지하철역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 봉은사로 201,서울특별시 강남구 논현동 279-165,서울특별시 강남구청,37.507289,127.033828,2017-11-17
"언주역",언주역 7번출구로부터 10미터 이내,서울특별시,강남구,지하철역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 봉은사로 201,서울특별시 강남구 논현동 279-165,서울특별시 강남구청,37.507289,127.033828,2017-11-17
"언주역",언주역 8번출구로부터 10미터 이내,서울특별시,강남구,지하철역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 봉은사로 201,서울특별시 강남구 논현동 279-165,서울특별시 강남구청,37.507289,127.033828,2017-11-17
"일원역",일원역 1번출구로부터 10미터 이내,서울특별시,강남구,지하철역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 일원로 121,서울특별시 강남구 일원동 717,서울특별시 강남구청,37.483835,127.084043,2017-11-17
"(주)삼진에너지",영업허가 면적 경계선까지,서울특별시,강남구,가스충전소,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 남부순환로 3179,서울특별시 강남구 남부순환로 3179(대치동 27-15),서울특별시 강남구청,37.482812,127.096260,2017-11-17
"(주)수서에너지",영업허가 면적 경계선까지,서울특별시,강남구,가스충전소,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 밤고개로 127,서울특별시 강남구 밤고개로 127(자곡동204-1),서울특별시 강남구청,37.476346,127.096710,2017-11-17
"개인택시조합복지강남제2충전소",영업허가 면적 경계선까지,서울특별시,강남구,가스충전소,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 밤고개로 200,서울특별시 강남구 밤고개로 200(자곡동 373-1),서울특별시 강남구청,37.479020,127.056932,2017-11-17
"(주)도선제이엔디아이엔씨",영업허가 면적 경계선까지,서울특별시,강남구,가스충전소,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 양재대로 486,서울특별시 강남구 양재대로 486(개포동 565-3),서울특별시 강남구청,37.481293,127.049902,2017-11-17
"강남대로 동측",신 논현역 5번 출구~강남역 12번 출구사이 보도,서울특별시,강남구,거리,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,870,100000,02-3423-7115,서울특별시 강남구 강남대로,서울특별시 강남구 강남대로,서울특별시 강남구청,37.470688,127.067571,2017-11-17
"강남대로","강남역 1번 출구?캠브리지 빌딩, 강남역 1번 출구?우성아파트 사거리 서울빌딩",서울특별시,강남구,거리,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,697,100000,02-3423-7115,서울특별시 강남구 강남대로,서울특별시 강남구 강남대로,서울특별시 강남구청,37.492117,127.011862,2017-11-17
"대모산도시자연공원",시설전체,서울특별시,강남구,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,2277252,100000,02-3423-7115,서울특별시 강남구 광평로10길 30-71,서울특별시 강남구 일원동 산52-1 일대,서울특별시 강남구청,37.478884,127.056785,2017-11-17
"단비어린이집",건축물경계로부터 10m까지,서울특별시,강남구,어린이집,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 언주로6길 10,서울특별시 강남구 언주로6길 10,서울특별시 강남구청,37.477808,127.040609,2017-11-17
"미래클어린이집",건축물경계로부터 10m까지,서울특별시,강남구,어린이집,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 선릉로 7 23동 108호,서울특별시 강남구 선릉로 7 23동 108호,서울특별시 강남구청,37.478366,127.043974,2017-11-17
"보명어린이집",건축물경계로부터 10m까지,서울특별시,강남구,어린이집,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 선릉로 7,서울특별시 강남구 선릉로 7,서울특별시 강남구청,37.478366,127.043974,2017-11-17
"늘푸른어린이집",건축물경계로부터 10m까지,서울특별시,강남구,어린이집,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 개포로128길 19,서울특별시 강남구 개포로128길 19,서울특별시 강남구청,37.493811,127.066370,2017-11-17
"대청어린이집",건축물경계로부터 10m까지,서울특별시,강남구,어린이집,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 양재대로37길 19,서울특별시 강남구 양재대로37길 19,서울특별시 강남구청,37.490851,127.066004,2017-11-17
"빛나 어린이집",건축물경계로부터 10m까지,서울특별시,강남구,어린이집,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 양재대로55길10 121동 105호,서울특별시 강남구 양재대로55길10 121동 105호,서울특별시 강남구청,37.492613,127.072704,2017-11-17
"아카데미어린이집",건축물경계로부터 10m까지,서울특별시,강남구,어린이집,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 개포로124길 13,서울특별시 강남구 개포로124길 13,서울특별시 강남구청,37.493748,127.065515,2017-11-17
"엄마손몬테소리어린이집",건축물경계로부터 10m까지,서울특별시,강남구,어린이집,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 일원로5길 19,서울특별시 강남구 일원로5길 19,서울특별시 강남구청,37.491324,127.064787,2017-11-17
"래미안도곡카운티어린이집",건축물경계로부터 10m까지,서울특별시,강남구,어린이집,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 선릉로 227,서울특별시 강남구 선릉로227 래미안도곡카운티아파트내,서울특별시 강남구청,37.512819,127.033307,2017-11-17
"이레어린이집",건축물경계로부터 10m까지,서울특별시,강남구,어린이집,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 봉은사로51길 42,서울특별시 강남구 봉은사로 51길 42,서울특별시 강남구청,37.473710,127.042186,2017-11-17
"조이 빅스맘 어린이집",건축물경계로부터 10m까지,서울특별시,강남구,어린이집,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 논현로6길 19,서울특별시 강남구 논현로 6길 19,서울특별시 강남구청,37.488023,127.065469,2017-11-17
"그림어린이집",건축물경계로부터 10m까지,서울특별시,강남구,어린이집,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 삼성로 14,서울특별시 강남구 삼성로14 개포동 주공아파트내,서울특별시 강남구청,37.489084,127.092253,2017-11-17
"다솜어린이집",건축물경계로부터 10m까지,서울특별시,강남구,어린이집,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 광평로51길 27,서울특별시 강남구 광평로51길 27,서울특별시 강남구청,37.489150,127.092253,2017-11-17
"동심에코비어린이집",건축물경계로부터 10m까지,서울특별시,강남구,어린이집,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 양재대로55길 10,서울특별시 강남구 양재대로 55길 10 수서아파트내,서울특별시 강남구청,37.543142,127.137192,2017-11-17
"라온어린이집",건축물경계로부터 10m까지,서울특별시,강남구,어린이집,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 헌릉로20 강남LH1단지내,서울특별시 강남구 헌릉로20 강남LH1단지내,서울특별시 강남구청,37.477014,127.093090,2017-11-17
"마술피리어린이집",건축물경계로부터 10m까지,서울특별시,강남구,어린이집,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 자곡로 21,서울특별시 강남구 자곡로 21,서울특별시 강남구청,37.492357,127.069369,2017-11-17
"몽실어린이집",건축물경계로부터 10m까지,서울특별시,강남구,어린이집,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 개포로110길 15,서울특별시 강남구 개포로110길 15 우성7차아파트 내,서울특별시 강남구청,37.477014,127.093090,2017-11-17
"베베클럽어린이집",건축물경계로부터 10m까지,서울특별시,강남구,어린이집,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 자곡로 21,서울특별시 강남구 자곡로 21,서울특별시 강남구청,37.460276,127.099161,2017-11-17
"서이어린이집",건축물경계로부터 10m까지,서울특별시,강남구,어린이집,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 헌릉로571길 20,서울특별시 강남구 헌릉로 571길 20 강남LH1단지내,서울특별시 강남구청,37.467859,127.119301,2017-11-17
"매봉역",매봉역 1번출구로부터 10미터 이내,서울특별시,강남구,지하철역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 남부순환로 2744,서울특별시 강남구 도곡동 179-2,서울특별시 강남구청,37.486771,127.046290,2017-11-17
"매봉역",매봉역 2번출구로부터 10미터 이내,서울특별시,강남구,지하철역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 남부순환로 2744,서울특별시 강남구 도곡동 179-2,서울특별시 강남구청,37.486771,127.046290,2017-11-17
"매봉역",매봉역 3번출구로부터 10미터 이내,서울특별시,강남구,지하철역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 남부순환로 2744,서울특별시 강남구 도곡동 179-2,서울특별시 강남구청,37.486771,127.046290,2017-11-17
"매봉역",매봉역 4번출구로부터 10미터 이내,서울특별시,강남구,지하철역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 남부순환로 2744,서울특별시 강남구 도곡동 179-2,서울특별시 강남구청,37.486771,127.046290,2017-11-17
"일원역",일원역 2번출구로부터 10미터 이내,서울특별시,강남구,지하철역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 일원로 121,서울특별시 강남구 일원동 717,서울특별시 강남구청,37.483835,127.084043,2017-11-17
"일원역",일원역 3번출구로부터 10미터 이내,서울특별시,강남구,지하철역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 일원로 121,서울특별시 강남구 일원동 717,서울특별시 강남구청,37.483835,127.084043,2017-11-17
"일원역",일원역 4번출구로부터 10미터 이내,서울특별시,강남구,지하철역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 일원로 121,서울특별시 강남구 일원동 717,서울특별시 강남구청,37.483835,127.084043,2017-11-17
"일원역",일원역 5번출구로부터 10미터 이내,서울특별시,강남구,지하철역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 일원로 121,서울특별시 강남구 일원동 717,서울특별시 강남구청,37.483835,127.084043,2017-11-17
"일원역",일원역 6번출구로부터 10미터 이내,서울특별시,강남구,지하철역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 일원로 121,서울특별시 강남구 일원동 717,서울특별시 강남구청,37.483835,127.084043,2017-11-17
"일원역",일원역 7번출구로부터 10미터 이내,서울특별시,강남구,지하철역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 일원로 121,서울특별시 강남구 일원동 717,서울특별시 강남구청,37.483835,127.084043,2017-11-17
"청담역",청담역 1번출구로부터 10미터 이내,서울특별시,강남구,지하철역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 학동로 508,서울특별시 강남구 청담동 77-76,서울특별시 강남구청,37.519111,127.051894,2017-11-17
"청담역",청담역 2번출구로부터 10미터 이내,서울특별시,강남구,지하철역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 학동로 508,서울특별시 강남구 청담동 77-76,서울특별시 강남구청,37.519111,127.051894,2017-11-17
"청담역",청담역 3번출구로부터 10미터 이내,서울특별시,강남구,지하철역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 학동로 508,서울특별시 강남구 청담동 77-76,서울특별시 강남구청,37.519111,127.051894,2017-11-17
"청담역",청담역 4번출구로부터 10미터 이내,서울특별시,강남구,지하철역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 학동로 508,서울특별시 강남구 청담동 77-76,서울특별시 강남구청,37.519111,127.051894,2017-11-17
"청담역",청담역 5번출구로부터 10미터 이내,서울특별시,강남구,지하철역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 학동로 508,서울특별시 강남구 청담동 77-76,서울특별시 강남구청,37.519111,127.051894,2017-11-17
"청담역",청담역 6번출구로부터 10미터 이내,서울특별시,강남구,지하철역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 학동로 508,서울특별시 강남구 청담동 77-76,서울특별시 강남구청,37.519111,127.051894,2017-11-17
